LocationID,Borough,Zone,lat,long
170,Manhattan,Murray Hill,40.7481574,-73.97875
171,Queens,Murray Hill-Queens,40.7430865,-73.9611197
172,Staten Island,New Dorp/Midland Beach,40.57316,-74.09459
173,Queens,North Corona,40.73497,-73.86497
174,Bronx,Norwood,40.8772593,-73.8768626
175,Queens,Oakland Gardens,40.753991,-73.765966
176,Staten Island,Oakwood,40.5639366,-74.1163373
177,Brooklyn,Ocean Hill,40.6757317,-73.9124338
178,Brooklyn,Ocean Parkway South,40.5854595,-73.9648715
179,Queens,Old Astoria,46.18788,-123.83125
180,Queens,Ozone Park,40.67677,-73.8437461
181,Brooklyn,Park Slope,40.6701033,-73.9859723
182,Bronx,Parkchester,40.8332047,-73.8609723
183,Bronx,Pelham Bay,40.8662112,-73.7895774
184,Bronx,Pelham Bay Park,40.852548,-73.827938
185,Bronx,Pelham Parkway,40.857229,-73.8676281
186,Manhattan,Penn Station/Madison Sq West,40.7503468,-73.991203
187,Staten Island,Port Richmond,40.6331592,-74.1365318
188,Brooklyn,Prospect-Lefferts Gardens,40.65898,-73.95049
189,Brooklyn,Prospect Heights,40.6778708,-73.9684725
190,Brooklyn,Prospect Park,40.6617743,-73.971089
191,Queens,Queens Village,40.7267692,-73.7415208
192,Queens,Queensboro Hill,40.7429131,-73.825175
193,Queens,Queensbridge/Ravenswood,40.758403,-73.9391619
194,Manhattan,Randalls Island,40.793939,-73.9176102
195,Brooklyn,Red Hook,40.6751032,-74.0095841
196,Queens,Rego Park,40.722865,-73.8621025
197,Queens,Richmond Hill,40.6994253,-73.8309672
198,Queens,Ridgewood,40.7080556,-73.9141667
199,Bronx,Rikers Island,40.7919318,-73.8834937
200,Bronx,Riverdale/North Riverdale/Fieldston,40.8944444,-73.9033333
201,Queens,Rockaway Park,40.5805104,-73.8361535
202,Manhattan,Roosevelt Island,40.7613367,-73.9502853
203,Queens,Rosedale,40.6620479,-73.7354097
204,Staten Island,Rossville/Woodrow,40.5429027,-74.206653
205,Queens,Saint Albans,40.6984364,-73.7606881
206,Staten Island,Saint George/New Brighton,40.6417867,-74.0784115
207,Queens,Saint Michaels Cemetery/Woodside,40.7453798,-73.9054145
208,Bronx,Schuylerville/Edgewater Park,40.821982,-73.8187004
209,Manhattan,Seaport,40.7057505,-74.0029056
210,Brooklyn,Sheepshead Bay,40.5912161,-73.9445822
211,Manhattan,SoHo,40.72288,-73.9987505
212,Bronx,Soundview/Bruckner,40.8266667,-73.8286111
213,Bronx,Soundview/Castle Hill,40.8189076,-73.8499209
214,Staten Island,South Beach/Dongan Hills,40.58844,-74.09625
215,Queens,South Jamaica,40.6956749,-73.7942027
216,Queens,South Ozone Park,40.6701035,-73.8190231
217,Brooklyn,South Williamsburg,40.7085,-73.952
218,Queens,Springfield Gardens North,40.678159,-73.746521
219,Queens,Springfield Gardens South,40.6591,-73.7522
220,Bronx,Spuyten Duyvil/Kingsbridge,40.8806984,-73.9077054
221,Staten Island,Stapleton,40.6264774,-74.0776361
222,Brooklyn,Starrett City,40.6478738,-73.8795192
223,Queens,Steinway,40.7745459,-73.9037477
224,Manhattan,Stuy Town/Peter Cooper Village,40.73500883,-73.97733375
225,Brooklyn,Stuyvesant Heights,40.6743965,-73.9440461
226,Queens,Sunnyside,40.7398242,-73.9354153
227,Brooklyn,Sunset Park East,40.6364667,-74.0083234
228,Brooklyn,Sunset Park West,40.63665976,-74.00871339
229,Manhattan,Sutton Place/Turtle Bay North,40.7580419,-73.960182
230,Manhattan,Times Sq/Theatre District,40.7628,-73.9836
231,Manhattan,TriBeCa/Civic Center,40.71403,-74.00283
232,Manhattan,Two Bridges/Seward Park,40.7144978,-73.9885436
233,Manhattan,UN/Turtle Bay South,40.750902,-73.9691265
234,Manhattan,Union Sq,40.7360717,-73.9901888
235,Bronx,University Heights/Morris Heights,40.8540951,-73.9198195
236,Manhattan,Upper East Side North,40.7686313,-73.9647371
237,Manhattan,Upper East Side South,40.7794679,-73.9582649
238,Manhattan,Upper West Side North,40.7797929,-73.9819947
239,Manhattan,Upper West Side South,40.7772311,-73.9900594
240,Bronx,Van Cortlandt Park,40.8894635,-73.898489
241,Bronx,Van Cortlandt Village,40.897934,-73.885948
242,Bronx,Van Nest/Morris Park,40.8539384,-73.8611454
243,Manhattan,Washington Heights North,40.8403468,-73.9407446
244,Manhattan,Washington Heights South,40.8501,-73.93541
245,Staten Island,West Brighton,40.6345481,-74.1120867
246,Manhattan,West Chelsea/Hudson Yards,40.7534461,-74.0032895
247,Bronx,West Concourse,40.8263245,-73.9212145
248,Bronx,West Farms/Bronx River,40.8396045,-73.8728779
249,Manhattan,West Village,40.7341857,-74.00558
250,Bronx,Westchester Village/Unionport,40.8273229,-73.8501349
251,Staten Island,Westerleigh,40.621215,-74.1318094
252,Queens,Whitestone,40.7945457,-73.8184674
253,Queens,Willets Point,40.7950955,-73.77824298
254,Bronx,Williamsbridge/Olinville,40.87804959,-73.87764673
255,Brooklyn,Williamsburg (North Side),40.71427,-73.95347
256,Brooklyn,Williamsburg (South Side),40.714622,-73.95345
257,Brooklyn,Windsor Terrace,40.653487,-73.977196
258,Queens,Woodhaven,40.6892698,-73.8579131
259,Bronx,Woodlawn/Wakefield,40.8932127,-73.8613781
260,Queens,Woodside,40.7453798,-73.9054145
261,Manhattan,World Trade Center,40.7119004,-74.012527
262,Manhattan,Yorkville East,40.7836181,-73.9455926
263,Manhattan,Yorkville West,40.7762,-73.9492
264,Unknown,NV,0,0
265,Unknown,NA,0,0
